contribution_receipt_date;contribution_receipt_amount
30-01-20 00:00;100.00
30-01-20 00:00;2.50
30-01-20 00:00;6.00
30-01-20 00:00;5.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;5.00
30-01-20 00:00;25.00
30-01-20 00:00;15.00
30-01-20 00:00;12.00
30-01-20 00:00;15.00
30-01-20 00:00;25.00
30-01-20 00:00;100.00
30-01-20 00:00;100.00
30-01-20 00:00;50.00
30-01-20 00:00;5.00
30-01-20 00:00;25.00
30-01-20 00:00;20.00
30-01-20 00:00;15.00
30-01-20 00:00;15.00
30-01-20 00:00;50.00
30-01-20 00:00;20.00
30-01-20 00:00;10.00
30-01-20 00:00;100.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;6.00
30-01-20 00:00;3.12
30-01-20 00:00;5600.00
30-01-20 00:00;50.00
30-01-20 00:00;100.00
30-01-20 00:00;1000.00
30-01-20 00:00;22.50
30-01-20 00:00;250.00
30-01-20 00:00;5600.00
30-01-20 00:00;50.00
30-01-20 00:00;45.00
30-01-20 00:00;4.50
30-01-20 00:00;45.00
30-01-20 00:00;250.00
30-01-20 00:00;9.00
30-01-20 00:00;1000.00
30-01-20 00:00;9.00
30-01-20 00:00;25.00
30-01-20 00:00;28.00
30-01-20 00:00;15.00
30-01-20 00:00;15.00
30-01-20 00:00;20.00
30-01-20 00:00;100.00
30-01-20 00:00;50.00
30-01-20 00:00;50.00
30-01-20 00:00;250.00
30-01-20 00:00;250.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;20.00
30-01-20 00:00;15.00
30-01-20 00:00;50.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;50.00
30-01-20 00:00;50.00
30-01-20 00:00;100.00
30-01-20 00:00;100.00
30-01-20 00:00;26.00
30-01-20 00:00;50.00
30-01-20 00:00;20.00
30-01-20 00:00;5.00
30-01-20 00:00;5.00
30-01-20 00:00;50.00
30-01-20 00:00;24.00
30-01-20 00:00;100.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;50.00
30-01-20 00:00;8.00
30-01-20 00:00;15.00
30-01-20 00:00;100.00
30-01-20 00:00;25.00
30-01-20 00:00;50.00
30-01-20 00:00;14.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;100.00
30-01-20 00:00;50.00
30-01-20 00:00;36.00
30-01-20 00:00;20.00
30-01-20 00:00;5.00
30-01-20 00:00;20.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;7.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;2800.00
30-01-20 00:00;35.00
30-01-20 00:00;15.00
30-01-20 00:00;25.00
30-01-20 00:00;20.00
30-01-20 00:00;5.00
30-01-20 00:00;25.00
30-01-20 00:00;20.00
30-01-20 00:00;41.00
30-01-20 00:00;9.00
30-01-20 00:00;20.00
30-01-20 00:00;15.00
30-01-20 00:00;20.00
30-01-20 00:00;15.00
30-01-20 00:00;23.00
30-01-20 00:00;50.00
30-01-20 00:00;200.00
30-01-20 00:00;50.00
30-01-20 00:00;40.00
30-01-20 00:00;10.00
30-01-20 00:00;10.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;25.00
30-01-20 00:00;20.00
30-01-20 00:00;20.00
30-01-20 00:00;25.00
30-01-20 00:00;5.00
30-01-20 00:00;15.00
