Name;STATE;COUNTY;TRACT;GEOID;;;
100% Playground;36;47;97400;364797400;;;
174th Street Playground;36;5;6200;3656200;;;
227 Street Playground;36;5;40600;36540600;;;
Abe Lincoln;36;61;16900;366116900;;;
Abigail Playground;36;5;7900;3657900;;;
Agnes Haywood Playground;36;5;39000;36539000;;;
Albemarle Park;36;47;49800;364749800;;;
Albert J. Parham Playground;36;47;31300;364731300;;;
Alexander Hamilton Playground;36;61;25900;366125900;;;
Alfred E. Smith Park;36;61;2500;36612500;;;
Alice Kornegay Triangle;36;61;24200;366124200;;;
Allerton Playground;36;5;31800;36531800;;;
Alley Park (PS 213);36;81;137700;3681137700;;;
Alley Pond Park;36;81;128300;3681128300;;;
Alley Pond Park (Alley Athletic Field);36;81;156700;3681156700;;;
Alley Pond Park (Alley Pond Spring);36;81;137700;3681137700;;;
Alley Pond Park (Horatio Playground);36;81;138501;3681138501;;;
Alstyne Playground;36;81;41300;368141300;;;
American Playground;36;47;56500;364756500;;;
Ampere Playground (PS 64);36;81;4200;36814200;;;
Andrews Playground;36;81;701;3681701;;;
Annandale Playground (PS 175);36;81;72100;368172100;;;
Annunciation Park;36;61;21703;366121703;;;
Arcilla Playground;36;5;17500;36517500;;;
Arrochar Playground;36;85;2002;36852002;;;
Arrow Community Garden;36;81;5700;36815700;;;
Asser Levy;36;61;6200;36616200;;;
Asser Levy Park;36;47;35602;364735602;;;
Asser Levy Park (Performance Space);36;47;35602;364735602;;;
Astoria Heights Playground;36;81;14500;368114500;;;
Astoria Park (Charybdis Playground);36;81;9900;36819900;;;
Athens Sq (PS 17);36;81;7100;36817100;;;
Aubondale Playground;36;81;120701;3681120701;;;
Audubon Playground;36;61;25300;366125300;;;
Augustus St. Gaudens;36;61;6400;36616400;;;
Bailey Playground;36;5;28300;36528300;;;
Baisley Pond Park;36;81;28803;368128803;;;
Baisley Pond Park;36;81;30600;368130600;;;
Baisley Pond Park (157th Street Playground);36;81;27600;368127600;;;
Bartlett Playground;36;47;50700;364750700;;;
Battery Park (Battery Gardens);36;61;1300;36611300;;;
Battery Park Comfort Station;36;61;1300;36611300;;;
Bay Terrace Playground (PS 169);36;81;99704;368199704;;;
Bayside Fields;36;81;108500;3681108500;;;
Bayside Playground (JHS 180);36;81;93800;368193800;;;
Bayview Playground;36;47;103401;3647103401;;;
Bedford Playground;36;47;51700;364751700;;;
Behagen Playground;36;5;13100;36513100;;;
Bellaire Playground;36;81;49202;368149202;;;
Belmont Playground;36;5;37300;36537300;;;
Bendheim Playground;36;61;14300;366114300;;;
Bennett Park;36;61;27300;366127300;;;
