Name;STATE;COUNTY;TRACT;GEOID
100% Playground;36.0;47.0;97400.0;364797400.0
174th Street Playground;36.0;5.0;6200.0;3656200.0
227 Street Playground;36.0;5.0;40600.0;36540600.0
Abe Lincoln;36.0;61.0;16900.0;366116900.0
Abigail Playground;36.0;5.0;7900.0;3657900.0
Agnes Haywood Playground;36.0;5.0;39000.0;36539000.0
Albemarle Park;36.0;47.0;49800.0;364749800.0
Albert J. Parham Playground;36.0;47.0;31300.0;364731300.0
Alexander Hamilton Playground;36.0;61.0;25900.0;366125900.0
Alfred E. Smith Park;36.0;61.0;2500.0;36612500.0
Alice Kornegay Triangle;36.0;61.0;24200.0;366124200.0
Allerton Playground;36.0;5.0;31800.0;36531800.0
Alley Park (PS 213);36.0;81.0;137700.0;3681137700.0
Alley Pond Park;36.0;81.0;128300.0;3681128300.0
Alley Pond Park (Alley Athletic Field);36.0;81.0;156700.0;3681156700.0
Alley Pond Park (Alley Pond Spring);36.0;81.0;137700.0;3681137700.0
Alley Pond Park (Horatio Playground);36.0;81.0;138501.0;3681138501.0
Alstyne Playground;36.0;81.0;41300.0;368141300.0
American Playground;36.0;47.0;56500.0;364756500.0
Ampere Playground (PS 64);36.0;81.0;4200.0;36814200.0
Andrews Playground;36.0;81.0;701.0;3681701.0
Annandale Playground (PS 175);36.0;81.0;72100.0;368172100.0
Annunciation Park;36.0;61.0;21703.0;366121703.0
Arcilla Playground;36.0;5.0;17500.0;36517500.0
Arrochar Playground;36.0;85.0;2002.0;36852002.0
Arrow Community Garden;36.0;81.0;5700.0;36815700.0
Asser Levy;36.0;61.0;6200.0;36616200.0
Asser Levy Park;36.0;47.0;35602.0;364735602.0
Asser Levy Park (Performance Space);36.0;47.0;35602.0;364735602.0
Astoria Heights Playground;36.0;81.0;14500.0;368114500.0
Astoria Park (Charybdis Playground);36.0;81.0;9900.0;36819900.0
Athens Sq (PS 17);36.0;81.0;7100.0;36817100.0
Aubondale Playground;36.0;81.0;120701.0;3681120701.0
Audubon Playground;36.0;61.0;25300.0;366125300.0
Augustus St. Gaudens;36.0;61.0;6400.0;36616400.0
Bailey Playground;36.0;5.0;28300.0;36528300.0
Baisley Pond Park;36.0;81.0;28803.0;368128803.0
Baisley Pond Park;36.0;81.0;30600.0;368130600.0
Baisley Pond Park (157th Street Playground);36.0;81.0;27600.0;368127600.0
Bartlett Playground;36.0;47.0;50700.0;364750700.0
Battery Park (Battery Gardens);36.0;61.0;1300.0;36611300.0
Battery Park Comfort Station;36.0;61.0;1300.0;36611300.0
Bay Terrace Playground (PS 169);36.0;81.0;99704.0;368199704.0
Bayside Fields;36.0;81.0;108500.0;3681108500.0
Bayside Playground (JHS 180);36.0;81.0;93800.0;368193800.0
Bayview Playground;36.0;47.0;103401.0;3647103401.0
Bedford Playground;36.0;47.0;51700.0;364751700.0
Behagen Playground;36.0;5.0;13100.0;36513100.0
Bellaire Playground;36.0;81.0;49202.0;368149202.0
Belmont Playground;36.0;5.0;37300.0;36537300.0
Bendheim Playground;36.0;61.0;14300.0;366114300.0
Bennett Park;36.0;61.0;27300.0;366127300.0
Benson Playground;36.0;47.0;28400.0;364728400.0
Bensonhurst Park;36.0;47.0;17000.0;364717000.0
Betsy Head Playground;36.0;47.0;90200.0;364790200.0
Betsy Head Playground (Administration Building);36.0;47.0;90200.0;364790200.0
