Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,GEOID,STATE,COUNTY,TRACT,BLOCK
100% Playground,"Glenwood Road, East 100 & East 101 streets",Yes,,Brooklyn,,40.646908,-73.899467,,0,360470974002002,+40.6461352,2002,0,36,2002,210701004657726,BK,+40.6461352,S,Block 2002,4712733,097400,-073.8987935,2,16992,0,-073.8987935,G5040,L,U,047,,0,360470974002002,+40.6461352,2002,0,36,2002,210701004657726,BK,+40.6461352,S,Block 2002,4712733,097400,-073.8987935,2,16992,0,-073.8987935,G5040,L,U,047,360470974002002,36,047,097400,2002
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",Yes,,Bronx,,40.833885,-73.8765962,,1898,360050062003000,+40.8347905,3000,0,36,3000,210701006028405,BK,+40.8347905,S,Block 3000,2133244,006200,-073.8759740,3,36136,698,-073.8759740,G5040,L,U,005,,1898,360050062003000,+40.8347905,3000,0,36,3000,210701006028405,BK,+40.8347905,S,Block 3000,2133244,006200,-073.8759740,3,36136,698,-073.8759740,G5040,L,U,005,360050062003000,36,005,006200,3000
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,Yes,Yes,Bronx,,40.888553,-73.8550125,,318,360050406001001,+40.8881978,1001,0,36,1001,210701006026019,BK,+40.8881978,S,Block 1001,1629285,040600,-073.8551750,1,22335,139,-073.8551750,G5040,L,U,005,,318,360050406001001,+40.8881978,1001,0,36,1001,210701006026019,BK,+40.8881978,S,Block 1001,1629285,040600,-073.8551750,1,22335,139,-073.8551750,G5040,L,U,005,360050406001001,36,005,040600,1001
Abe Lincoln,"East 135 Street, between Madison & 5 avenues",Yes,,Manhattan,,40.7830603,-73.9712488,,1398,360610169006000,+40.7836216,6000,0,36,6000,210701008619593,BK,+40.7836216,S,Block 6000,2183960,016900,-073.9724099,6,22078,845,-073.9724099,G5040,L,U,061,,1398,360610169006000,+40.7836216,6000,0,36,6000,210701008619593,BK,+40.7836216,S,Block 6000,2183960,016900,-073.9724099,6,22078,845,-073.9724099,G5040,L,U,061,360610169006000,36,061,016900,6000
Abigail Playground,"East 156 Street, Tinton Avenue",No,,Bronx,,40.8178797,-73.90500569999999,,133,360050079001001,+40.8180805,1001,0,36,1001,210701006026605,BK,+40.8180805,S,Block 1001,3310817,007900,-073.9041228,1,9480,40,-073.9041228,G5040,L,U,005,,133,360050079001001,+40.8180805,1001,0,36,1001,210701006026605,BK,+40.8180805,S,Block 1001,3310817,007900,-073.9041228,1,9480,40,-073.9041228,G5040,L,U,005,360050079001001,36,005,007900,1001
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",Yes,,Bronx,,40.8805551,-73.8611145,,553,360050390002002,+40.8813516,2002,0,36,2002,210701006028468,BK,+40.8813516,S,Block 2002,2138507,039000,-073.8623398,2,22524,172,-073.8623398,G5040,L,U,005,,553,360050390002002,+40.8813516,2002,0,36,2002,210701006028468,BK,+40.8813516,S,Block 2002,2138507,039000,-073.8623398,2,22524,172,-073.8623398,G5040,L,U,005,360050390002002,36,005,039000,2002
Albemarle Park,Albermarle Road & Dahill Road,Yes,Yes,Brooklyn,,40.64500899999999,-73.9809193,,788,360470498002002,+40.6447578,2002,0,36,2002,210701004649253,BK,+40.6447578,S,Block 2002,6083448,049800,-073.9825843,2,24310,358,-073.9825843,G5040,L,U,047,,788,360470498002002,+40.6447578,2002,0,36,2002,210701004649253,BK,+40.6447578,S,Block 2002,6083448,049800,-073.9825843,2,24310,358,-073.9825843,G5040,L,U,047,360470498002002,36,047,049800,2002
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",Yes,Yes,Brooklyn,,40.6781784,-73.9441579,,0,360470313004000,+40.6782744,4000,0,36,4000,210701004648428,BK,+40.6782744,S,Block 4000,4610831,031300,-073.9455015,4,2013,0,-073.9455015,G5040,L,U,047,,0,360470313004000,+40.6782744,4000,0,36,4000,210701004648428,BK,+40.6782744,S,Block 4000,4610831,031300,-073.9455015,4,2013,0,-073.9455015,G5040,L,U,047,360470313004000,36,047,031300,4000
Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Yes,,Manhattan,,40.8206197,-73.9445379,,567,360610259002003,+40.8208839,2003,0,36,2003,210701008621941,BK,+40.8208839,S,Block 2003,2838528,025900,-073.9442180,2,10187,250,-073.9442180,G5040,L,U,061,,567,360610259002003,+40.8208839,2003,0,36,2003,210701008621941,BK,+40.8208839,S,Block 2003,2838528,025900,-073.9442180,2,10187,250,-073.9442180,G5040,L,U,061,360610259002003,36,061,025900,2003
Alfred E. Smith Park,"Catherine Slip, Madison & South streets",Yes,,Manhattan,,40.7096735,-73.9970539,,820,360610025003000,+40.7093908,3000,0,36,3000,210701008618827,BK,+40.7093908,S,Block 3000,2885719,002500,-073.9976887,3,17623,336,-073.9976887,G5040,L,U,061,,820,360610025003000,+40.7093908,3000,0,36,3000,210701008618827,BK,+40.7093908,S,Block 3000,2885719,002500,-073.9976887,3,17623,336,-073.9976887,G5040,L,U,061,360610025003000,36,061,002500,3000
