Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
100% Playground,"Glenwood Road, East 100 & East 101 streets",Yes,,Brooklyn,,40.646908,-73.899467
174th Street Playground,"East 174 Street, Stratford Avenue, Bronx River Avenue",Yes,,Bronx,,40.833885,-73.8765962
227 Street Playground,Bronx Boulevard between East 226 and East 228 streets,Yes,Yes,Bronx,,40.888553,-73.8550125
Abe Lincoln,"East 135 Street, between Madison & 5 avenues",Yes,,Manhattan,,40.7830603,-73.9712488
Abigail Playground,"East 156 Street, Tinton Avenue",No,,Bronx,,40.8178797,-73.90500569999999
Agnes Haywood Playground,"East 215 Street, Barnes Avenue, East 216 Street",Yes,,Bronx,,40.8805551,-73.8611145
Albemarle Park,Albermarle Road & Dahill Road,Yes,Yes,Brooklyn,,40.64500899999999,-73.9809193
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",Yes,Yes,Brooklyn,,40.6781784,-73.9441579
Alexander Hamilton Playground,"Hamilton Place, West 140 to West 141 streets",Yes,,Manhattan,,40.8206197,-73.9445379
Alfred E. Smith Park,"Catherine Slip, Madison & South streets",Yes,,Manhattan,,40.7096735,-73.9970539
Alice Kornegay Triangle,"Lexington Avenue, East 128 & East 129 streets",Yes,,Manhattan,,40.8063049,-73.9360262
Allerton Playground,"Anrow Avenue, Bouck Avenue, Throop Avenue, Streetedman Place, Allerton Avenue",Yes,,Bronx,,40.8646021,-73.8501102
Alley Park (PS 213),67 Avenue & 230 Street,Yes,,Queens,,40.7474777,-73.74679549999999
Alley Pond Park,"Entrance off Grand Central Parkway, includes athletic fields and picnic areas",Yes,,Queens,,40.7288021,-73.7724884
Alley Pond Park (Alley Athletic Field),"Grand Central Parkway, Winchester Boulevard, &Union Turnpike",Yes,,Queens,,40.7389383,-73.7338075
Alley Pond Park (Alley Pond Spring),"Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area",Yes,,Queens,,40.7424131,-73.75347339999999
Alley Pond Park (Horatio Playground),Horatio Parkway and 50 Avenue,Yes,,Queens,,40.758242,-73.7531759
Alstyne Playground,Alystine Avenue & 102 Street,Yes,,Queens,,40.7435603,-73.8616416
American Playground,"Noble, Franklin Milton Streets",Yes,Yes,Brooklyn,,40.7291647,-73.957469
Ampere Playground (PS 64),101 Avenue & 82 Street,Yes,,Queens,,40.68113230000001,-73.8570474
Andrews Playground,"49 Avenue, Vernon Boulevard, 5 Street",No,,Queens,,40.743407,-73.95437390000001
Annandale Playground (PS 175),"Yellowstone Boulevard, 65 Road, 65 Avenue",Yes,Yes,Queens,,40.7298433,-73.8507037
Annunciation Park,"Convent and Amsterdam Av, W 135 St",,Yes,Manhattan,,40.81931700000001,-73.951843
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Yes,Yes,Bronx,,40.8299454,-73.9131128
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Yes,Yes,Staten Island,,40.5978211,-74.0717897
Arrow Community Garden,"35th Street, between 35th and 36th Avenue",Yes,,Queens,,40.7550919,-73.92656649999999
Asser Levy,Asser Levy Place & East 24-25 streets,Yes,,Manhattan,,40.7361601,-73.9756582
Asser Levy Park,"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,,Brooklyn,,40.5752791,-73.96897170000001
Asser Levy Park (Performance Space),"Boardwalk, Surf, Sea Breeze avenues, Ocean Parkway",Yes,,Brooklyn,,40.5752791,-73.96897170000001
Astoria Heights Playground,"30 Road, 45 to 46 streets",Yes,,Queens,,40.7652191,-73.9073076
Astoria Park (Charybdis Playground),Shore Boulevard opposite 23 Road,Yes,,Queens,,40.7819062,-73.9204719
Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",Yes,Yes,Queens,,40.7672696,-73.9221848
Aubondale Playground,"170-171 streets, 33-35 avenues",Yes,,Queens,,40.7481685,-73.7968507
Audubon Playground,West 170 Street & Audubon Avenue,Yes,,Manhattan,,40.8416671,-73.93750949999999
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Yes,,Manhattan,,40.7360228,-73.9822738
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",Yes,,Bronx,,40.8850328,-73.899998
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",Yes,,Queens,,40.6758621,-73.7830468
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",Yes,,Queens,,40.6670627,-73.78701459999999
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,Yes,,Queens,,40.6851275,-73.78653779999999
Bartlett Playground,Bartlett Street & Throop Avenue,Yes,,Brooklyn,,40.7016615,-73.94565469999999
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,,Manhattan,,40.7052168,-74.01393399999999
Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,,Manhattan,,40.7052168,-74.01393399999999
Bay Terrace Playground (PS 169),23 Avenue & 212 Street,Yes,,Queens,,40.7814134,-73.7781826
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Yes,Yes,Queens,,40.7728915,-73.78664669999999
Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,No,,Queens,,40.5854984,-73.8246971
Bayview Playground,Seaview Avenue & East 99 Street,Yes,,Brooklyn,,40.6348063,-73.8880138
Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",Yes,,Brooklyn,,40.7186721,-73.9550277
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Yes,Yes,Bronx,,40.8260191,-73.9005159
Bellaire Playground,"89 Avenue, 207 & 208 streets",Yes,,Queens,,40.7206187,-73.7575422
Belmont Playground,"Crotona Avenue, East 181 Street",Yes,Yes,Bronx,,40.8489391,-73.8881588
Bendheim Playground,100th Street and Fifth Ave,,Yes,Manhattan,,40.7744146,-73.9656177
Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,,Manhattan,,40.8533949,-73.9374263
Benson Playground,Bath Avenue between Bay 22 & Bay 23 streets,Yes,,Brooklyn,,40.6047003,-73.9997408
Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",Yes,,Brooklyn,,40.6076797,-74.0169501
Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,,Brooklyn,,40.6648086,-73.915308
Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,,Brooklyn,,40.6648086,-73.915308
Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",Yes,,Queens,,40.7192645,-73.9458161
Bildersee Playground,Flatlands Avenue between East 81 & East 82 streets,Yes,,Brooklyn,,40.6781784,-73.9441579
Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",Yes,,Brooklyn,,40.5932846,-73.9453602
Bleecker Playground,Hudson & West 11 streets,Yes,,Manhattan,,40.7358468,-74.0059591
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,Staten Island,,40.5834379,-74.1495589
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,Staten Island,,40.5834379,-74.1495589
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",,Yes,Staten Island,,40.5351479,-74.2079748
Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Yes,,Manhattan,,40.79939299999999,-73.96633899999999
Blue Heron Park Preserve (Nature Center),Poillon Avenue,Yes,Yes,Staten Island,This facility is currently closed,40.5303319,-74.1765091
Bowne Park,"159 Street, 29 Avenue, 155 Street, 32 Avenue",Yes,,Queens,,40.7719794,-73.81440549999999
Bowne Playground,Union Street and Sanford Avenue,Yes,,Queens,,40.7576513,-73.8251902
Breininger Park,Braddock Avenue & 240 Street,Yes,,Queens,,40.72651620000001,-73.7282156
Breukelen Playground,Louisiana & Flatlands Avenue,Yes,,Brooklyn,,40.6511866,-73.8900487
Brevoort Playground,Ralph Avenue & Chauncy Street,Yes,,Brooklyn,,40.681211,-73.922406
Bridge Park 2,Bridge & Prospect streets,Yes,,Brooklyn,,40.7006752,-73.9873803
Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,,Manhattan,,40.8009929,-73.9590858
Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,Yes,,Bronx,,40.8542614,-73.8693736
Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,Yes,,Bronx,,40.848986,-73.8683877
Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,Yes,,Bronx,,40.873974,-73.8834143
Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,Yes,,Bronx,,40.8821212,-73.8582001
Bronx Park (Ranaqua),"Southern Boulevard, Webster, Burke avenues, Bronx Park East, 180 Street",Yes,,Bronx,,40.87150339999999,-73.8705746
Bronx Park (River Park Playground),"East 180th Street, Boston Road",Yes,Yes,Bronx,,40.8426532,-73.8781539
Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,Yes,,Bronx,,40.87221,-73.8718155
Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,Yes,,Bronx,,40.8588707,-73.8695246
Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",Yes,Yes,Bronx,,40.87221,-73.8718155
Brookville Park,"Conduit Avenue, Brookville Boulevard, 144th Avenue, 233rd Street",Yes,,Queens,,40.665184,-73.739845
Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,,Brooklyn,,40.66879429999999,-73.94452199999999
Brower Park (Museum),"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,,Brooklyn,,40.66879429999999,-73.94452199999999
Brownsville Playground,Linden Boulevard & Hegeman Avenue,Yes,,Brooklyn,,40.6573304,-73.90028439999999
Bufano Playground,"La Salle Avenue, Edison Avenue, Bradford Avenue, Waterbury Avenue",Yes,,Bronx,,40.8389243,-73.83104949999999
Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",No,,Brooklyn,,40.701946,-73.936539
Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,Yes,,Brooklyn,,40.692626,-73.923672
Cabbell Park/Cambria Playground,121 Avenue & 220 Street,Yes,,Queens,,40.6883335,-73.743374
Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect streets",Yes,,Brooklyn,,40.696114,-73.990166
