GEOIDCORRECT;NAME_x;variable;estimate;Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME_y;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX.1;POP100.1;GEOID.1;CENTLAT.1;BLOCK.1;AREAWATER.1;STATE.1;BASENAME.1;OID.1;LSADC.1;INTPTLAT.1;FUNCSTAT.1;NAME.1;OBJECTID.1;TRACT.1;CENTLON.1;BLKGRP.1;AREALAND.1;HU100.1;INTPTLON.1;MTFCC.1;LWBLKTYP.1;UR.1;COUNTY.1;GEOID.2;STATE.2;COUNTY.2;TRACT.2;BLOCK.2
36061006900;Census Tract 69, New York County, New York;population;2450;James J. Walker Park (Carmine Recreation Center);Hudson, Leroy, Clarkson Streets, 7 Avenue;Yes;;Manhattan;;407.296.395;-740.084.028;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;3,6061E+14;36;61;6900;2004
36061006900;Census Tract 69, New York County, New York;poverty;2126;James J. Walker Park (Carmine Recreation Center);Hudson, Leroy, Clarkson Streets, 7 Avenue;Yes;;Manhattan;;407.296.395;-740.084.028;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;3,6061E+14;36;61;6900;2004
36061006900;Census Tract 69, New York County, New York;med_inc;237500;James J. Walker Park (Carmine Recreation Center);Hudson, Leroy, Clarkson Streets, 7 Avenue;Yes;;Manhattan;;407.296.395;-740.084.028;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;;0;3,6061E+14;407.300.339;2004;0;36;2004;2,10701E+14;BK;407.300.339;S;Block 2004;2884648;6900;-740.087.187;2;5831;0;-740.087.187;G5040;L;U;61;3,6061E+14;36;61;6900;2004
36061018300;Census Tract 183, New York County, New York;population;8578;Riverside Park (Dinosaur Playground);West 97 Street & Riverside Drive;Yes;;Manhattan;;407.966.037;-7.397.429.199.999.990;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;3,6061E+14;36;61;18300;1002
36061018300;Census Tract 183, New York County, New York;poverty;8573;Riverside Park (Dinosaur Playground);West 97 Street & Riverside Drive;Yes;;Manhattan;;407.966.037;-7.397.429.199.999.990;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;3,6061E+14;36;61;18300;1002
36061018300;Census Tract 183, New York County, New York;med_inc;129909;Riverside Park (Dinosaur Playground);West 97 Street & Riverside Drive;Yes;;Manhattan;;407.966.037;-7.397.429.199.999.990;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;;0;3,6061E+14;407.966.395;1002;0;36;1002;2,10701E+14;BK;407.966.395;S;Block 1002;2847942;18300;-739.752.554;1;27443;0;-739.752.554;G5040;L;U;61;3,6061E+14;36;61;18300;1002
36005030000;Census Tract 300, Bronx County, New York;population;6612;Colucci Playground;Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue;Yes;;Bronx;;40.851.854;-7.383.375.699.999.990;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;3,6005E+14;36;5;30000;5001
36005030000;Census Tract 300, Bronx County, New York;poverty;6520;Colucci Playground;Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue;Yes;;Bronx;;40.851.854;-7.383.375.699.999.990;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;3,6005E+14;36;5;30000;5001
36005030000;Census Tract 300, Bronx County, New York;med_inc;72568;Colucci Playground;Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue;Yes;;Bronx;;40.851.854;-7.383.375.699.999.990;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;;286;3,6005E+14;408.507.345;5001;0;36;5001;2,10701E+14;BK;408.507.345;S;Block 5001;2133827;30000;-738.343.293;5;19471;104;-738.343.293;G5040;L;U;5;3,6005E+14;36;5;30000;5001
36081083700;Census Tract 837, Queens County, New York;population;5531;Captain Mario Fajardo Park;Kissena Boulevard & Booth Memorial Avenue;Yes;;Queens;;407.429.665;-738.143.118;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;3,60811E+14;36;81;83700;5008
36081083700;Census Tract 837, Queens County, New York;poverty;5518;Captain Mario Fajardo Park;Kissena Boulevard & Booth Memorial Avenue;Yes;;Queens;;407.429.665;-738.143.118;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;3,60811E+14;36;81;83700;5008
36081083700;Census Tract 837, Queens County, New York;med_inc;56356;Captain Mario Fajardo Park;Kissena Boulevard & Booth Memorial Avenue;Yes;;Queens;;407.429.665;-738.143.118;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;;195;3,60811E+14;407.427.211;5008;0;36;5008;2,10701E+14;BK;407.427.211;S;Block 5008;1272126;83700;-738.151.415;5;12241;63;-738.151.415;G5040;L;U;81;3,60811E+14;36;81;83700;5008
36081137700;Census Tract 1377, Queens County, New York;population;7882;Alley Park (PS 213);67 Avenue & 230 Street;Yes;;Queens;;407.474.777;-7.374.679.549.999.990;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;3,60811E+14;36;81;137700;3008
36081137700;Census Tract 1377, Queens County, New York;population;7882;Alley Pond Park (Alley Pond Spring);Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area;Yes;;Queens;;407.424.131;-7.375.347.339.999.990;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;3,60811E+14;36;81;137700;4008
36081137700;Census Tract 1377, Queens County, New York;poverty;7824;Alley Park (PS 213);67 Avenue & 230 Street;Yes;;Queens;;407.474.777;-7.374.679.549.999.990;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;3,60811E+14;36;81;137700;3008
36081137700;Census Tract 1377, Queens County, New York;poverty;7824;Alley Pond Park (Alley Pond Spring);Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area;Yes;;Queens;;407.424.131;-7.375.347.339.999.990;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;3,60811E+14;36;81;137700;4008
36081137700;Census Tract 1377, Queens County, New York;med_inc;90238;Alley Park (PS 213);67 Avenue & 230 Street;Yes;;Queens;;407.474.777;-7.374.679.549.999.990;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;;199;3,60811E+14;407.483.835;3008;0;36;3008;2,10701E+14;BK;407.483.835;S;Block 3008;1392478;137700;-737.477.112;3;19357;56;-737.477.112;G5040;L;U;81;3,60811E+14;36;81;137700;3008
36081137700;Census Tract 1377, Queens County, New York;med_inc;90238;Alley Pond Park (Alley Pond Spring);Springfield Boulevard, 73rd Avenue, 76th Avenue to tree line & natural area;Yes;;Queens;;407.424.131;-7.375.347.339.999.990;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;;142;3,60811E+14;407.430.725;4008;0;36;4008;2,10701E+14;BK;407.430.725;S;Block 4008;1842064;137700;-73.753.262;4;10867;44;-73.753.262;G5040;L;U;81;3,60811E+14;36;81;137700;4008
36047025901;Census Tract 259.01, Kings County, New York;population;2077;Willoughby Playground;Tompkins & Willoughby avenues;Yes;;Brooklyn;;406.942.295;-739.460.864;;258;3,6047E+14;406.944.335;1002;0;36;1002;2,10701E+14;BK;406.944.335;S;Block 1002;5844170;25901;-739.475.688;1;19932;70;-739.475.688;G5040;L;U;47;;258;3,6047E+14;406.944.335;1002;0;36;1002;2,10701E+14;BK;406.944.335;S;Block 1002;5844170;25901;-739.475.688;1;19932;70;-739.475.688;G5040;L;U;47;3,6047E+14;36;47;25901;1002
36047025901;Census Tract 259.01, Kings County, New York;poverty;2077;Willoughby Playground;Tompkins & Willoughby avenues;Yes;;Brooklyn;;406.942.295;-739.460.864;;258;3,6047E+14;406.944.335;1002;0;36;1002;2,10701E+14;BK;406.944.335;S;Block 1002;5844170;25901;-739.475.688;1;19932;70;-739.475.688;G5040;L;U;47;;258;3,6047E+14;406.944.335;1002;0;36;1002;2,10701E+14;BK;406.944.335;S;Block 1002;5844170;25901;-739.475.688;1;19932;70;-739.475.688;G5040;L;U;47;3,6047E+14;36;47;25901;1002
