GEOIDCORRECT,NAME_x,variable,estimate,Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME_y,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX.1,POP100.1,GEOID.1,CENTLAT.1,BLOCK.1,AREAWATER.1,STATE.1,BASENAME.1,OID.1,LSADC.1,INTPTLAT.1,FUNCSTAT.1,NAME.1,OBJECTID.1,TRACT.1,CENTLON.1,BLKGRP.1,AREALAND.1,HU100.1,INTPTLON.1,MTFCC.1,LWBLKTYP.1,UR.1,COUNTY.1,GEOID.2,STATE.2,COUNTY.2,TRACT.2,BLOCK.2
36061006900,"Census Tract 69, New York County, New York",population,2450,James J. Walker Park (Carmine Recreation Center),"Hudson, Leroy, Clarkson Streets, 7 Avenue",Yes,,Manhattan,,40.7296395,-74.0084028,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,006900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,061,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,6900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,61,360610069002004,36,61,6900,2004
36061006900,"Census Tract 69, New York County, New York",poverty,2126,James J. Walker Park (Carmine Recreation Center),"Hudson, Leroy, Clarkson Streets, 7 Avenue",Yes,,Manhattan,,40.7296395,-74.0084028,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,006900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,061,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,6900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,61,360610069002004,36,61,6900,2004
36061006900,"Census Tract 69, New York County, New York",med_inc,237500,James J. Walker Park (Carmine Recreation Center),"Hudson, Leroy, Clarkson Streets, 7 Avenue",Yes,,Manhattan,,40.7296395,-74.0084028,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,006900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,061,,0,360610069002004,40.7300339,2004,0,36,2004,210701008621843,BK,40.7300339,S,Block 2004,2884648,6900,-74.0087187,2,5831,0,-74.0087187,G5040,L,U,61,360610069002004,36,61,6900,2004
36061018300,"Census Tract 183, New York County, New York",population,8578,Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,,Manhattan,,40.7966037,-73.97429199999999,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,018300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,061,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,18300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,61,360610183001002,36,61,18300,1002
36061018300,"Census Tract 183, New York County, New York",poverty,8573,Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,,Manhattan,,40.7966037,-73.97429199999999,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,018300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,061,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,18300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,61,360610183001002,36,61,18300,1002
36061018300,"Census Tract 183, New York County, New York",med_inc,129909,Riverside Park (Dinosaur Playground),West 97 Street & Riverside Drive,Yes,,Manhattan,,40.7966037,-73.97429199999999,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,018300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,061,,0,360610183001002,40.7966395,1002,0,36,1002,210701008619507,BK,40.7966395,S,Block 1002,2847942,18300,-73.9752554,1,27443,0,-73.9752554,G5040,L,U,61,360610183001002,36,61,18300,1002
36005030000,"Census Tract 300, Bronx County, New York",population,6612,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,,Bronx,,40.851854,-73.83375699999999,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,030000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,005,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,30000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,5,360050300005001,36,5,30000,5001
36005030000,"Census Tract 300, Bronx County, New York",poverty,6520,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,,Bronx,,40.851854,-73.83375699999999,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,030000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,005,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,30000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,5,360050300005001,36,5,30000,5001
36005030000,"Census Tract 300, Bronx County, New York",med_inc,72568,Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",Yes,,Bronx,,40.851854,-73.83375699999999,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,030000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,005,,286,360050300005001,40.8507345,5001,0,36,5001,210701006029333,BK,40.8507345,S,Block 5001,2133827,30000,-73.8343293,5,19471,104,-73.8343293,G5040,L,U,5,360050300005001,36,5,30000,5001
36081083700,"Census Tract 837, Queens County, New York",population,5531,Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,Yes,,Queens,,40.7429665,-73.8143118,,195,360810837005008,40.7427211,5008,0,36,5008,210701006116847,BK,40.7427211,S,Block 5008,1272126,083700,-73.8151415,5,12241,63,-73.8151415,G5040,L,U,081,,195,360810837005008,40.7427211,5008,0,36,5008,210701006116847,BK,40.7427211,S,Block 5008,1272126,83700,-73.8151415,5,12241,63,-73.8151415,G5040,L,U,81,360810837005008,36,81,83700,5008
