;GEOIDCORRECT;NAME;variable;estimate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;36081014700;Census Tract 147, Queens County, New York;population;2863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;36081014700;Census Tract 147, Queens County, New York;poverty;2862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;36081014700;Census Tract 147, Queens County, New York;med_inc;71815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;36047058400;Census Tract 584, Kings County, New York;population;3655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;36047058400;Census Tract 584, Kings County, New York;poverty;3655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;36047058400;Census Tract 584, Kings County, New York;med_inc;67315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;36061006900;Census Tract 69, New York County, New York;population;2450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;36061006900;Census Tract 69, New York County, New York;poverty;2126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;36061006900;Census Tract 69, New York County, New York;med_inc;237500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;36047073000;Census Tract 730, Kings County, New York;population;2676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;36047073000;Census Tract 730, Kings County, New York;poverty;2675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;36047073000;Census Tract 730, Kings County, New York;med_inc;117857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;36047100400;Census Tract 1004, Kings County, New York;population;3004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;36047100400;Census Tract 1004, Kings County, New York;poverty;3004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;36047100400;Census Tract 1004, Kings County, New York;med_inc;76207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;36047055700;Census Tract 557, Kings County, New York;population;1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;36047055700;Census Tract 557, Kings County, New York;poverty;1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;36047055700;Census Tract 557, Kings County, New York;med_inc;107410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;36005022101;Census Tract 221.01, Bronx County, New York;population;4030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;36005022101;Census Tract 221.01, Bronx County, New York;poverty;3974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;36005022101;Census Tract 221.01, Bronx County, New York;med_inc;37200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;36081047000;Census Tract 470, Queens County, New York;population;3637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;36081047000;Census Tract 470, Queens County, New York;poverty;3635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;36081047000;Census Tract 470, Queens County, New York;med_inc;50000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
